date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:56:44	97360/97360	---M-Z	200	added ('OK')	text/html	date:Wed,%2001%20Jul%202020%2021:56:46%20GMT	http://gw2.voids.cn/database/recipe	Z:/Downloads/web/gw2/gw2.voids.cn/database/recipe.html	(from http://gw2.voids.cn/)
05:56:45	81379/81379	---M-Z	200	added ('OK')	text/html	date:Wed,%2001%20Jul%202020%2021:56:46%20GMT	http://gw2.voids.cn/database/equipment	Z:/Downloads/web/gw2/gw2.voids.cn/database/equipment.html	(from http://gw2.voids.cn/)
05:56:45	71883/71883	---M-Z	200	added ('OK')	text/html	date:Wed,%2001%20Jul%202020%2021:56:47%20GMT	http://gw2.voids.cn/database/skin	Z:/Downloads/web/gw2/gw2.voids.cn/database/skin.html	(from http://gw2.voids.cn/)
05:56:46	202666/202666	---M-Z	200	added ('OK')	text/html	date:Wed,%2001%20Jul%202020%2021:56:47%20GMT	http://gw2.voids.cn/database/dye_kit	Z:/Downloads/web/gw2/gw2.voids.cn/database/dye_kit.html	(from http://gw2.voids.cn/)
05:56:46	96169/96169	---M-Z	200	added ('OK')	text/html	date:Wed,%2001%20Jul%202020%2021:56:48%20GMT	http://gw2.voids.cn/database/glyph	Z:/Downloads/web/gw2/gw2.voids.cn/database/glyph.html	(from http://gw2.voids.cn/)
05:56:47	209705/209705	---M-Z	200	added ('OK')	text/html	date:Wed,%2001%20Jul%202020%2021:56:48%20GMT	http://gw2.voids.cn/doc/database/bonus	Z:/Downloads/web/gw2/gw2.voids.cn/doc/database/bonus.html	(from http://gw2.voids.cn/)
05:56:48	78739/78739	---M-Z	200	added ('OK')	text/html	date:Wed,%2001%20Jul%202020%2021:56:49%20GMT	http://gw2.voids.cn/doc/crafting/guide	Z:/Downloads/web/gw2/gw2.voids.cn/doc/crafting/guide.html	(from http://gw2.voids.cn/)
05:56:48	139100/139100	---M-Z	200	added ('OK')	text/html	date:Wed,%2001%20Jul%202020%2021:56:50%20GMT	http://gw2.voids.cn/doc/crafting/chef	Z:/Downloads/web/gw2/gw2.voids.cn/doc/crafting/chef.html	(from http://gw2.voids.cn/)
05:56:49	95897/95897	---M-Z	200	added ('OK')	text/html	date:Wed,%2001%20Jul%202020%2021:56:50%20GMT	http://gw2.voids.cn/crafting/weaponsmith	Z:/Downloads/web/gw2/gw2.voids.cn/crafting/weaponsmith.html	(from http://gw2.voids.cn/)
05:56:49	96520/96520	---M-Z	200	added ('OK')	text/html	date:Wed,%2001%20Jul%202020%2021:56:51%20GMT	http://gw2.voids.cn/crafting/armorsmith	Z:/Downloads/web/gw2/gw2.voids.cn/crafting/armorsmith.html	(from http://gw2.voids.cn/)
05:56:50	52515/52515	---M--	200	added ('OK')	image/png	etag:%22cd23-58621ad4f4ad8%22	http://gw2.voids.cn/images/logo-icon.png	Z:/Downloads/web/gw2/gw2.voids.cn/images/logo-icon.png	(from http://gw2.voids.cn/)
05:56:50	95893/95893	---M-Z	200	added ('OK')	text/html	date:Wed,%2001%20Jul%202020%2021:56:52%20GMT	http://gw2.voids.cn/crafting/artificer	Z:/Downloads/web/gw2/gw2.voids.cn/crafting/artificer.html	(from http://gw2.voids.cn/)
05:56:50	96485/96485	---M-Z	200	added ('OK')	text/html	date:Wed,%2001%20Jul%202020%2021:56:52%20GMT	http://gw2.voids.cn/crafting/tailor	Z:/Downloads/web/gw2/gw2.voids.cn/crafting/tailor.html	(from http://gw2.voids.cn/)
05:56:51	95864/95864	---M-Z	200	added ('OK')	text/html	date:Wed,%2001%20Jul%202020%2021:56:53%20GMT	http://gw2.voids.cn/crafting/huntsman	Z:/Downloads/web/gw2/gw2.voids.cn/crafting/huntsman.html	(from http://gw2.voids.cn/)
05:56:52	96508/96508	---M-Z	200	added ('OK')	text/html	date:Wed,%2001%20Jul%202020%2021:56:53%20GMT	http://gw2.voids.cn/crafting/leatherworker	Z:/Downloads/web/gw2/gw2.voids.cn/crafting/leatherworker.html	(from http://gw2.voids.cn/)
05:56:52	95670/95670	---M-Z	200	added ('OK')	text/html	date:Wed,%2001%20Jul%202020%2021:56:54%20GMT	http://gw2.voids.cn/crafting/jeweler	Z:/Downloads/web/gw2/gw2.voids.cn/crafting/jeweler.html	(from http://gw2.voids.cn/)
